flow_id,policy_id,claim_id,flow_type,payment_method,flow_status,transaction_date,processing_date,amount,processed_amount,currency,customer_document,bank_name,city,state,created_at
FLOW-0000000011,POL-00000312,CLM-00000651,CANCELLATION,BANK_SLIP,PENDING,2024-10-20,2024-10-21,16770.87,16770.87,BRL,029.148.675-49,da Mata S.A.,Barbosa,MG,2026-05-25 01:16:38
FLOW-0000000012,POL-00000195,CLM-00000277,CLAIM_PAYMENT,BANK_TRANSFER,CANCELLED,2026-02-25,2026-03-01,18241.71,18241.71,BRL,502.934.781-04,Nogueira Ltda.,Siqueira do Sul,PA,2026-05-25 01:16:38
FLOW-0000000013,POL-00000421,CLM-00000033,PREMIUM_PAYMENT,CREDIT_CARD,PROCESSED,2025-01-11,2025-01-12,17131.13,17131.13,BRL,412.869.537-82,Borges,Guerra da Praia,ES,2026-05-25 01:16:38
FLOW-0000000014,POL-00000109,CLM-00000672,CLAIM_PAYMENT,DEBIT,FAILED,2025-09-09,2025-09-12,6730.13,0.0,BRL,853.709.624-56,Barros Rocha e Filhos,Oliveira Paulista,TO,2026-05-25 01:16:38
FLOW-0000000015,POL-00000074,CLM-00000272,CANCELLATION,BANK_SLIP,CANCELLED,2025-04-20,2025-04-23,22122.84,22122.84,BRL,126.043.789-22,Jesus S/A,da Cruz da Praia,PR,2026-05-25 01:16:38
FLOW-0000000016,POL-00000383,CLM-00000599,REINSURANCE,DEBIT,FAILED,2026-02-20,2026-02-21,18637.48,0.0,BRL,871.039.652-77,Aparecida Ltda.,Marques da Serra,AL,2026-05-25 01:16:38
FLOW-0000000017,POL-00000261,CLM-00000506,CLAIM_PAYMENT,PIX,PROCESSED,2025-03-01,2025-03-05,10015.04,10015.04,BRL,592.710.346-43,Casa Grande - EI,Fonseca da Mata,CE,2026-05-25 01:16:38
FLOW-0000000018,POL-00000406,CLM-00000697,CLAIM_PAYMENT,DEBIT,PROCESSED,2025-11-23,2025-11-23,21534.52,21534.52,BRL,924.850.176-11,Jesus S/A,Martins da Serra,TO,2026-05-25 01:16:38
FLOW-0000000019,POL-00000271,CLM-00000258,REFUND,BANK_TRANSFER,CANCELLED,2026-04-10,2026-04-14,1635.02,1635.02,BRL,340.956.127-70,Aragão - EI,Casa Grande,MS,2026-05-25 01:16:38
FLOW-0000000020,POL-00000394,CLM-00000657,PREMIUM_PAYMENT,CREDIT_CARD,FAILED,2024-12-05,2024-12-05,17023.07,0.0,BRL,574.268.901-20,Costa - EI,das Neves do Amparo,SE,2026-05-25 01:16:38
FLOW-0000000021,POL-00000002,CLM-00000977,CLAIM_PAYMENT,CREDIT_CARD,CANCELLED,2024-08-11,2024-08-11,7372.83,7372.83,BRL,326.048.195-89,da Rocha,Leão,MS,2026-05-25 01:16:38
FLOW-0000000022,POL-00000446,CLM-00000641,REINSURANCE,CREDIT_CARD,PENDING,2024-07-17,2024-07-21,19060.96,19060.96,BRL,750.261.349-80,Freitas,Barros,ES,2026-05-25 01:16:38
FLOW-0000000023,POL-00000192,CLM-00000781,CLAIM_PAYMENT,BANK_SLIP,PROCESSED,2024-07-18,2024-07-23,12716.19,12716.19,BRL,417.639.280-04,Pimenta,Carvalho de Santos,TO,2026-05-25 01:16:38
FLOW-0000000024,POL-00000307,CLM-00000332,REINSURANCE,DEBIT,PENDING,2024-06-21,2024-06-25,23839.82,23839.82,BRL,826.943.710-78,Barros,Mendonça dos Dourados,BA,2026-05-25 01:16:38
FLOW-0000000025,POL-00000123,CLM-00000060,COMMISSION,BANK_SLIP,FAILED,2025-07-28,2025-07-28,2841.1,0.0,BRL,318.794.605-48,Machado Sales - EI,Abreu da Serra,RS,2026-05-25 01:16:38
FLOW-0000000026,POL-00000418,CLM-00000071,PREMIUM_PAYMENT,BANK_TRANSFER,CANCELLED,2025-08-20,2025-08-24,23676.39,23676.39,BRL,183.625.074-62,Rezende,Pereira,PE,2026-05-25 01:16:38
FLOW-0000000027,POL-00000136,CLM-00000541,REFUND,BANK_TRANSFER,PROCESSED,2026-03-12,2026-03-13,3253.37,3253.37,BRL,918.245.607-02,Ramos,Cunha da Praia,RO,2026-05-25 01:16:38
FLOW-0000000028,POL-00000366,CLM-00000320,REINSURANCE,DEBIT,PROCESSED,2026-04-11,2026-04-14,24110.85,24110.85,BRL,821.946.570-02,Garcia,Cirino,CE,2026-05-25 01:16:38
FLOW-0000000029,POL-00000062,CLM-00000254,REFUND,BANK_SLIP,CANCELLED,2025-03-01,2025-03-06,16264.46,16264.46,BRL,436.278.190-04,Caldeira,Câmara Alegre,SP,2026-05-25 01:16:38
FLOW-0000000030,POL-00000302,CLM-00000226,REINSURANCE,PIX,PROCESSED,2025-09-11,2025-09-11,8485.23,8485.23,BRL,832.790.145-14,Cavalcanti,Oliveira,RR,2026-05-25 01:16:38
FLOW-0000000031,POL-00000035,CLM-00000928,PREMIUM_PAYMENT,PIX,PROCESSED,2025-04-08,2025-04-08,17710.63,17710.63,BRL,938.170.246-22,Guerra,Fonseca da Praia,MT,2026-05-25 01:16:38
FLOW-0000000032,POL-00000343,CLM-00000498,CLAIM_PAYMENT,BANK_SLIP,FAILED,2024-05-29,2024-05-31,1817.89,0.0,BRL,617.034.285-44,Novais Pinto S.A.,da Rocha,PI,2026-05-25 01:16:38
FLOW-0000000033,POL-00000125,CLM-00000804,REINSURANCE,DEBIT,CANCELLED,2026-01-27,2026-01-31,3351.18,3351.18,BRL,394.807.125-04,Sousa,Melo,RR,2026-05-25 01:16:38
FLOW-0000000034,POL-00000182,CLM-00000434,PREMIUM_PAYMENT,DEBIT,CANCELLED,2025-12-01,2025-12-04,4800.73,4800.73,BRL,507.613.249-25,Lopes,Barbosa do Norte,AC,2026-05-25 01:16:38
FLOW-0000000035,POL-00000032,CLM-00000413,PREMIUM_PAYMENT,CREDIT_CARD,PENDING,2025-01-17,2025-01-20,21602.73,21602.73,BRL,216.038.794-04,Moraes,Vieira do Campo,AL,2026-05-25 01:16:38
FLOW-0000000036,POL-00000072,CLM-00000433,CLAIM_PAYMENT,BANK_SLIP,CANCELLED,2025-09-10,2025-09-10,6253.98,6253.98,BRL,974.502.163-61,Nogueira,Câmara,MA,2026-05-25 01:16:38
FLOW-0000000037,POL-00000414,CLM-00000883,PREMIUM_PAYMENT,BANK_TRANSFER,CANCELLED,2024-06-21,2024-06-23,11592.57,11592.57,BRL,690.853.274-74,Casa Grande,Sousa,RO,2026-05-25 01:16:38
FLOW-0000000038,POL-00000497,CLM-00000096,REINSURANCE,BANK_SLIP,PENDING,2026-02-03,2026-02-03,1312.18,1312.18,BRL,836.105.942-33,da Mata Machado e Filhos,Moraes,MA,2026-05-25 01:16:38
FLOW-0000000039,POL-00000443,CLM-00000411,REFUND,PIX,PROCESSED,2024-06-16,2024-06-17,10190.03,10190.03,BRL,874.916.253-55,Marques,Montenegro das Flores,MS,2026-05-25 01:16:38
FLOW-0000000040,POL-00000475,CLM-00000803,REFUND,DEBIT,FAILED,2024-08-25,2024-08-26,9505.38,0.0,BRL,306.472.895-47,Abreu,Leão de Duarte,RS,2026-05-25 01:16:38
FLOW-0000000041,POL-00000080,CLM-00000195,CANCELLATION,CREDIT_CARD,CANCELLED,2026-03-08,2026-03-10,10604.04,10604.04,BRL,013.578.246-53,Martins,Nogueira da Serra,ES,2026-05-25 01:16:38
FLOW-0000000042,POL-00000383,CLM-00000322,REINSURANCE,PIX,PENDING,2025-10-22,2025-10-23,24219.3,24219.3,BRL,035.419.276-07,Almeida,Jesus da Prata,PR,2026-05-25 01:16:38
FLOW-0000000043,POL-00000030,CLM-00000984,REINSURANCE,BANK_TRANSFER,PROCESSED,2026-02-14,2026-02-14,14625.23,14625.23,BRL,374.095.812-04,Costela Borges S/A,Rodrigues das Flores,MA,2026-05-25 01:16:38
FLOW-0000000044,POL-00000346,CLM-00000883,PREMIUM_PAYMENT,BANK_SLIP,PENDING,2025-07-22,2025-07-22,21291.0,21291.0,BRL,643.709.185-10,Porto S.A.,da Paz,RS,2026-05-25 01:16:38
FLOW-0000000045,POL-00000297,CLM-00000609,REINSURANCE,PIX,PROCESSED,2025-02-28,2025-03-03,3041.17,3041.17,BRL,680.539.417-10,Moreira,Nunes das Pedras,SC,2026-05-25 01:16:38
FLOW-0000000046,POL-00000479,CLM-00000268,CANCELLATION,BANK_SLIP,FAILED,2026-03-02,2026-03-06,2095.49,0.0,BRL,903.875.246-65,Fernandes - ME,Guerra,RN,2026-05-25 01:16:38
FLOW-0000000047,POL-00000203,CLM-00000135,CLAIM_PAYMENT,CREDIT_CARD,FAILED,2024-07-10,2024-07-15,17918.99,0.0,BRL,762.813.905-12,Silva,Camargo,SC,2026-05-25 01:16:38
FLOW-0000000048,POL-00000235,CLM-00000637,PREMIUM_PAYMENT,BANK_TRANSFER,PENDING,2024-12-21,2024-12-24,7938.62,7938.62,BRL,238.907.465-00,Alves - ME,Barbosa do Campo,PE,2026-05-25 01:16:38
FLOW-0000000049,POL-00000068,CLM-00000956,CLAIM_PAYMENT,CREDIT_CARD,FAILED,2024-09-23,2024-09-23,1877.85,0.0,BRL,568.207.914-02,Sousa - EI,Ribeiro,GO,2026-05-25 01:16:38
FLOW-0000000050,POL-00000081,CLM-00000449,COMMISSION,BANK_TRANSFER,FAILED,2024-09-06,2024-09-06,21987.79,0.0,BRL,490.378.521-14,Rios Abreu Ltda.,Casa Grande,PB,2026-05-25 01:16:38
FLOW-0000000051,POL-00000342,CLM-00000837,CANCELLATION,BANK_TRANSFER,PENDING,2025-06-14,2025-06-19,7597.8,7597.8,BRL,135.948.026-98,Pinto S/A,Caldeira da Mata,RJ,2026-05-25 01:16:38
FLOW-0000000052,POL-00000136,CLM-00000119,PREMIUM_PAYMENT,PIX,PROCESSED,2024-08-30,2024-09-01,23297.31,23297.31,BRL,540.872.169-85,Sousa Sampaio S/A,Costa,PB,2026-05-25 01:16:38
FLOW-0000000053,POL-00000310,CLM-00000216,COMMISSION,CREDIT_CARD,FAILED,2025-11-16,2025-11-21,13852.93,0.0,BRL,728.396.051-12,Azevedo S/A,Guerra Verde,GO,2026-05-25 01:16:38
FLOW-0000000054,POL-00000129,CLM-00000928,COMMISSION,PIX,CANCELLED,2024-09-27,2024-09-28,17203.05,17203.05,BRL,419.506.237-34,Pires Ltda.,Freitas,TO,2026-05-25 01:16:38
FLOW-0000000055,POL-00000002,CLM-00000342,COMMISSION,BANK_SLIP,PENDING,2025-07-03,2025-07-03,15875.4,15875.4,BRL,812.904.376-96,Souza,Aragão,RR,2026-05-25 01:16:38
FLOW-0000000056,POL-00000283,CLM-00000723,CLAIM_PAYMENT,DEBIT,CANCELLED,2025-09-17,2025-09-22,24495.96,24495.96,BRL,126.408.957-02,Abreu da Cruz Ltda.,Nascimento,SP,2026-05-25 01:16:38
FLOW-0000000057,POL-00000280,CLM-00000037,PREMIUM_PAYMENT,CREDIT_CARD,PROCESSED,2025-06-09,2025-06-13,291.26,291.26,BRL,250.748.163-35,Moreira,Oliveira,GO,2026-05-25 01:16:38
FLOW-0000000058,POL-00000022,CLM-00000316,REFUND,CREDIT_CARD,PROCESSED,2025-05-09,2025-05-13,13835.5,13835.5,BRL,709.514.862-76,Vieira S/A,Lopes,AP,2026-05-25 01:16:38
FLOW-0000000059,POL-00000342,CLM-00000106,CLAIM_PAYMENT,CREDIT_CARD,PROCESSED,2024-11-02,2024-11-02,22478.17,22478.17,BRL,135.962.480-51,Teixeira,Freitas Verde,SC,2026-05-25 01:16:38
FLOW-0000000060,POL-00000474,CLM-00000953,REFUND,BANK_SLIP,PROCESSED,2026-03-13,2026-03-17,22109.16,22109.16,BRL,726.591.034-61,Gomes S/A,Gomes do Galho,CE,2026-05-25 01:16:38
FLOW-0000000061,POL-00000013,CLM-00000184,CLAIM_PAYMENT,CREDIT_CARD,CANCELLED,2024-06-28,2024-06-29,24406.34,24406.34,BRL,574.268.930-65,Guerra,Lopes,SP,2026-05-25 01:16:38
FLOW-0000000062,POL-00000137,CLM-00000164,CANCELLATION,PIX,PROCESSED,2026-01-09,2026-01-12,20065.77,20065.77,BRL,267.908.153-68,Pimenta,Rocha,SE,2026-05-25 01:16:38
FLOW-0000000063,POL-00000103,CLM-00000837,REFUND,DEBIT,PROCESSED,2025-12-07,2025-12-10,21810.56,21810.56,BRL,086.739.254-10,Teixeira - ME,Araújo da Praia,PB,2026-05-25 01:16:38
FLOW-0000000064,POL-00000013,CLM-00000676,CLAIM_PAYMENT,BANK_SLIP,PROCESSED,2024-09-08,2024-09-10,7664.51,7664.51,BRL,143.250.697-80,Melo da Rocha e Filhos,Carvalho,MA,2026-05-25 01:16:38
FLOW-0000000065,POL-00000180,CLM-00000657,PREMIUM_PAYMENT,BANK_TRANSFER,FAILED,2024-10-12,2024-10-15,8240.14,0.0,BRL,073.984.256-00,Gomes S.A.,Mendonça Alegre,RR,2026-05-25 01:16:38
FLOW-0000000066,POL-00000481,CLM-00000029,REINSURANCE,PIX,FAILED,2025-12-15,2025-12-18,17003.98,0.0,BRL,431.952.768-28,Almeida Fernandes S/A,Pastor,ES,2026-05-25 01:16:38
FLOW-0000000067,POL-00000056,CLM-00000611,COMMISSION,DEBIT,PENDING,2025-08-21,2025-08-23,4505.27,4505.27,BRL,291.736.540-43,Fogaça Ltda.,da Luz Verde,GO,2026-05-25 01:16:38
FLOW-0000000068,POL-00000311,CLM-00000524,COMMISSION,PIX,CANCELLED,2024-11-29,2024-12-01,18227.2,18227.2,BRL,857.246.190-67,Machado,Costela,AL,2026-05-25 01:16:38
FLOW-0000000069,POL-00000023,CLM-00000726,CLAIM_PAYMENT,DEBIT,FAILED,2024-11-04,2024-11-07,22492.64,0.0,BRL,523.796.418-46,Correia Santos Ltda.,Santos,GO,2026-05-25 01:16:38
FLOW-0000000070,POL-00000187,CLM-00000442,REINSURANCE,PIX,PROCESSED,2024-08-18,2024-08-18,13022.01,13022.01,BRL,285.037.164-53,Cavalcante Caldeira e Filhos,Pimenta,PR,2026-05-25 01:16:38
FLOW-0000000071,POL-00000340,CLM-00000869,REINSURANCE,PIX,FAILED,2025-11-05,2025-11-10,23023.23,0.0,BRL,548.017.392-88,Ribeiro S/A,Almeida Grande,SC,2026-05-25 01:16:38
FLOW-0000000072,POL-00000342,CLM-00000419,REINSURANCE,CREDIT_CARD,FAILED,2025-01-24,2025-01-29,22506.17,0.0,BRL,817.269.403-22,Marques,Pimenta do Sul,PB,2026-05-25 01:16:38
FLOW-0000000073,POL-00000099,CLM-00000431,REINSURANCE,DEBIT,PROCESSED,2026-05-19,2026-05-22,17445.35,17445.35,BRL,890.625.471-76,Dias da Luz Ltda.,Sousa,PE,2026-05-25 01:16:38
FLOW-0000000074,POL-00000208,CLM-00000562,CLAIM_PAYMENT,PIX,FAILED,2026-01-10,2026-01-15,18715.96,0.0,BRL,439.810.672-31,Campos Costa S.A.,Peixoto,BA,2026-05-25 01:16:38
FLOW-0000000075,POL-00000239,CLM-00000453,REFUND,DEBIT,FAILED,2025-10-08,2025-10-10,7208.5,0.0,BRL,261.495.378-46,Araújo Silveira Ltda.,Novaes,MS,2026-05-25 01:16:38
FLOW-0000000076,POL-00000338,CLM-00000087,REFUND,CREDIT_CARD,PROCESSED,2024-11-30,2024-12-05,5381.85,5381.85,BRL,126.539.870-40,da Cunha Monteiro e Filhos,Lima,RS,2026-05-25 01:16:38
FLOW-0000000077,POL-00000048,CLM-00000839,REINSURANCE,BANK_SLIP,FAILED,2025-10-22,2025-10-26,16613.15,0.0,BRL,328.914.765-73,Guerra Garcia e Filhos,Jesus de da Costa,PI,2026-05-25 01:16:38
FLOW-0000000078,POL-00000013,CLM-00000048,CLAIM_PAYMENT,BANK_SLIP,PROCESSED,2025-01-07,2025-01-12,7794.97,7794.97,BRL,392.078.514-23,Barros Nascimento Ltda.,Borges do Campo,TO,2026-05-25 01:16:38
FLOW-0000000079,POL-00000213,CLM-00000908,PREMIUM_PAYMENT,BANK_TRANSFER,CANCELLED,2025-06-08,2025-06-11,15301.29,15301.29,BRL,784.169.023-13,Duarte,da Rocha da Prata,RS,2026-05-25 01:16:38
FLOW-0000000080,POL-00000205,CLM-00000250,REFUND,BANK_SLIP,CANCELLED,2025-12-25,2025-12-26,17972.73,17972.73,BRL,835.924.760-92,Novaes,Barbosa,RN,2026-05-25 01:16:38
FLOW-0000000081,POL-00000113,CLM-00000181,PREMIUM_PAYMENT,BANK_TRANSFER,CANCELLED,2024-12-26,2024-12-31,17206.18,17206.18,BRL,940.516.372-80,Pacheco,Macedo Paulista,RS,2026-05-25 01:16:38
FLOW-0000000082,POL-00000234,CLM-00000137,CLAIM_PAYMENT,DEBIT,PENDING,2025-03-22,2025-03-25,1302.95,1302.95,BRL,856.137.940-57,Correia,Moraes de Sales,RR,2026-05-25 01:16:38
FLOW-0000000083,POL-00000487,CLM-00000774,REINSURANCE,DEBIT,FAILED,2024-11-22,2024-11-27,13301.74,0.0,BRL,872.931.405-41,Pinto - EI,Siqueira,PE,2026-05-25 01:16:38
FLOW-0000000084,POL-00000426,CLM-00000929,REINSURANCE,BANK_TRANSFER,CANCELLED,2024-09-05,2024-09-09,20384.41,20384.41,BRL,026.398.714-04,das Neves Pereira Ltda.,Souza Alegre,SC,2026-05-25 01:16:38
FLOW-0000000085,POL-00000231,CLM-00000266,CANCELLATION,BANK_SLIP,CANCELLED,2024-09-02,2024-09-05,22435.34,22435.34,BRL,459.310.286-33,Cardoso Correia Ltda.,Ramos Grande,RS,2026-05-25 01:16:38
FLOW-0000000086,POL-00000321,CLM-00000245,REINSURANCE,CREDIT_CARD,CANCELLED,2025-08-28,2025-09-02,6968.92,6968.92,BRL,751.093.264-52,Nunes S.A.,da Paz de Goiás,DF,2026-05-25 01:16:38
FLOW-0000000087,POL-00000140,CLM-00000344,COMMISSION,CREDIT_CARD,PROCESSED,2025-07-10,2025-07-13,1983.21,1983.21,BRL,507.896.124-02,Pacheco e Filhos,Vasconcelos de da Luz,MG,2026-05-25 01:16:38
FLOW-0000000088,POL-00000197,CLM-00000711,CLAIM_PAYMENT,BANK_SLIP,PROCESSED,2026-02-28,2026-03-04,2060.41,2060.41,BRL,628.317.594-55,Cassiano,Montenegro,PI,2026-05-25 01:16:38
FLOW-0000000089,POL-00000170,CLM-00000556,REFUND,DEBIT,CANCELLED,2025-03-21,2025-03-26,5388.12,5388.12,BRL,481.620.795-30,Pimenta,Cardoso,TO,2026-05-25 01:16:38
FLOW-0000000090,POL-00000464,CLM-00000789,REFUND,BANK_TRANSFER,CANCELLED,2024-12-25,2024-12-28,1603.53,1603.53,BRL,908.736.124-69,Monteiro da Costa S/A,Brito dos Dourados,MA,2026-05-25 01:16:38
FLOW-0000000091,POL-00000245,CLM-00000007,REINSURANCE,CREDIT_CARD,CANCELLED,2024-06-23,2024-06-28,537.32,537.32,BRL,013.925.847-79,da Mota,Nascimento do Amparo,SC,2026-05-25 01:16:38
FLOW-0000000092,POL-00000250,CLM-00000225,REFUND,CREDIT_CARD,PROCESSED,2024-12-28,2024-12-30,18849.2,18849.2,BRL,829.057.463-00,Silveira - ME,da Cruz,SP,2026-05-25 01:16:38
FLOW-0000000093,POL-00000343,CLM-00000696,REFUND,DEBIT,FAILED,2025-04-22,2025-04-25,12166.77,0.0,BRL,279.835.064-65,Costa,Alves das Flores,PB,2026-05-25 01:16:38
FLOW-0000000094,POL-00000319,CLM-00000547,REFUND,PIX,PROCESSED,2025-10-30,2025-11-04,4167.87,4167.87,BRL,738.502.691-59,Camargo Sousa S.A.,Duarte do Oeste,PA,2026-05-25 01:16:38
FLOW-0000000095,POL-00000043,CLM-00000659,CANCELLATION,DEBIT,PENDING,2024-07-03,2024-07-06,14817.72,14817.72,BRL,034.759.812-97,Macedo,Lima do Norte,AM,2026-05-25 01:16:38
FLOW-0000000096,POL-00000134,CLM-00000389,CLAIM_PAYMENT,CREDIT_CARD,PENDING,2026-04-20,2026-04-21,21677.94,21677.94,BRL,106.537.482-80,Vasconcelos,Novais,RJ,2026-05-25 01:16:38
FLOW-0000000097,POL-00000143,CLM-00000771,COMMISSION,DEBIT,CANCELLED,2024-12-03,2024-12-04,11394.75,11394.75,BRL,480.621.359-42,Guerra Pinto S.A.,Silveira da Praia,BA,2026-05-25 01:16:38
FLOW-0000000098,POL-00000384,CLM-00000553,REFUND,PIX,PENDING,2026-02-25,2026-02-27,20881.03,20881.03,BRL,874.905.361-20,da Mata S/A,Pinto de Barbosa,SP,2026-05-25 01:16:38
FLOW-0000000099,POL-00000387,CLM-00000032,PREMIUM_PAYMENT,BANK_SLIP,PENDING,2026-01-09,2026-01-11,5644.34,5644.34,BRL,803.579.614-39,Pires Ltda.,Oliveira de Castro,RS,2026-05-25 01:16:38
FLOW-0000000100,POL-00000123,CLM-00000130,REINSURANCE,DEBIT,PROCESSED,2025-10-16,2025-10-17,20988.76,20988.76,BRL,491.830.276-96,Lima Silva S.A.,Brito,CE,2026-05-25 01:16:38
FLOW-0000000101,POL-00000359,CLM-00000263,CLAIM_PAYMENT,CREDIT_CARD,CANCELLED,2025-11-14,2025-11-19,2904.02,2904.02,BRL,236.178.540-44,Cassiano,Sá do Amparo,PA,2026-05-25 01:16:38
FLOW-0000000102,POL-00000399,CLM-00000839,CANCELLATION,BANK_SLIP,PENDING,2025-07-24,2025-07-25,15167.02,15167.02,BRL,260.413.975-80,Rios e Filhos,Dias,AM,2026-05-25 01:16:38
FLOW-0000000103,POL-00000295,CLM-00000694,PREMIUM_PAYMENT,DEBIT,FAILED,2025-05-30,2025-06-01,2747.06,0.0,BRL,236.571.489-73,Pastor,Lopes de Minas,RO,2026-05-25 01:16:38
FLOW-0000000104,POL-00000304,CLM-00000708,CLAIM_PAYMENT,BANK_SLIP,PENDING,2025-05-19,2025-05-22,23539.69,23539.69,BRL,637.201.584-62,Macedo,Câmara,AP,2026-05-25 01:16:38
FLOW-0000000105,POL-00000408,CLM-00000580,COMMISSION,PIX,PENDING,2025-09-17,2025-09-17,17444.97,17444.97,BRL,763.894.102-04,Costa Costela Ltda.,Borges de Goiás,BA,2026-05-25 01:16:38
FLOW-0000000106,POL-00000036,CLM-00000519,CANCELLATION,CREDIT_CARD,FAILED,2026-02-23,2026-02-25,13341.99,0.0,BRL,643.185.920-06,Sousa - ME,Cunha,SE,2026-05-25 01:16:38
FLOW-0000000107,POL-00000222,CLM-00000984,REFUND,CREDIT_CARD,PENDING,2025-01-24,2025-01-24,21246.91,21246.91,BRL,254.386.109-24,da Rocha,Moraes,PI,2026-05-25 01:16:38
FLOW-0000000108,POL-00000223,CLM-00000181,REFUND,BANK_TRANSFER,PROCESSED,2025-09-28,2025-10-03,22294.8,22294.8,BRL,175.403.682-17,Macedo Albuquerque e Filhos,Novaes,CE,2026-05-25 01:16:38
FLOW-0000000109,POL-00000239,CLM-00000447,REINSURANCE,BANK_TRANSFER,CANCELLED,2025-05-01,2025-05-06,6788.56,6788.56,BRL,785.913.402-05,Silveira S.A.,Ramos de Rezende,RR,2026-05-25 01:16:38
FLOW-0000000110,POL-00000143,CLM-00000903,CLAIM_PAYMENT,DEBIT,PENDING,2024-10-20,2024-10-22,8091.5,8091.5,BRL,769.584.103-00,da Costa,Leão do Sul,TO,2026-05-25 01:16:38
FLOW-0000000111,POL-00000173,CLM-00000030,REINSURANCE,DEBIT,CANCELLED,2024-10-01,2024-10-02,18774.38,18774.38,BRL,258.610.749-76,Cirino,Porto,PE,2026-05-25 01:16:38
FLOW-0000000112,POL-00000409,CLM-00000265,CLAIM_PAYMENT,CREDIT_CARD,FAILED,2025-03-01,2025-03-03,4586.9,0.0,BRL,260.475.913-61,Vieira S/A,Freitas de Costela,ES,2026-05-25 01:16:38
FLOW-0000000113,POL-00000285,CLM-00000011,CANCELLATION,BANK_TRANSFER,FAILED,2026-05-17,2026-05-19,22013.98,0.0,BRL,827.149.356-64,Gomes da Mata - ME,da Cunha,TO,2026-05-25 01:16:38
FLOW-0000000114,POL-00000251,CLM-00000569,CANCELLATION,BANK_SLIP,CANCELLED,2026-04-30,2026-05-01,2186.04,2186.04,BRL,543.826.917-37,Vasconcelos,da Paz,MG,2026-05-25 01:16:38
FLOW-0000000115,POL-00000230,CLM-00000812,CANCELLATION,PIX,CANCELLED,2025-07-23,2025-07-28,11928.52,11928.52,BRL,073.529.146-25,Costela,Marques do Amparo,AL,2026-05-25 01:16:38
FLOW-0000000116,POL-00000157,CLM-00000680,REFUND,BANK_TRANSFER,PROCESSED,2025-06-11,2025-06-11,7391.18,7391.18,BRL,405.279.861-94,Silveira,Sampaio de da Rocha,RJ,2026-05-25 01:16:38
FLOW-0000000117,POL-00000218,CLM-00000764,REINSURANCE,BANK_TRANSFER,FAILED,2025-07-08,2025-07-10,11857.85,0.0,BRL,473.825.109-05,Novais S/A,Macedo de Moreira,SC,2026-05-25 01:16:38
FLOW-0000000118,POL-00000157,CLM-00000258,REFUND,BANK_SLIP,FAILED,2026-04-15,2026-04-17,8827.67,0.0,BRL,075.192.634-52,Costa Cirino S/A,Garcia da Praia,PI,2026-05-25 01:16:38
FLOW-0000000119,POL-00000381,CLM-00000549,COMMISSION,BANK_SLIP,PENDING,2025-05-30,2025-05-30,18046.04,18046.04,BRL,867.512.394-91,Silveira - EI,Nogueira do Galho,AP,2026-05-25 01:16:38
